instruction,input,output
Interpret OBD-II code C1429,,Input-shaft-speed input circuit failure
Interpret OBD-II code C1430,,Damper LR Circuit Open
Interpret OBD-II code C1431,,Damper LR Circuit Short To Battery
Interpret OBD-II code C1432,,Damper LR Circuit Short to Ground
Interpret OBD-II code C1433,,Damper LR Circuit Failure
Interpret OBD-II code C1435,,Accelerometer Rear Circuit Failure
Interpret OBD-II code C1436,,Accelerometer Rear Circuit Signal Is Not Sensed
Interpret OBD-II code C1437,,Accelerometer Rear Circuit Short To Ground
Interpret OBD-II code C1438,,Accelerometer Rear Circuit Short To Battery
Interpret OBD-II code C1439,,Vehicle Acceleration EEC-IV Circuit Failure
Interpret OBD-II code C1440,,Pressure Transducer Main / Primary signal Faulted
Interpret OBD-II code C1441,,Steering Phase A Circuit Signal Is Not Sensed
Interpret OBD-II code C1442,,Steering Phase B Circuit Signal Is Not Sensed
Interpret OBD-II code C1443,,Steering Phase A Circuit Short To Ground
Interpret OBD-II code C1444,,Steering Phase B Circuit Short To Ground
Interpret OBD-II code C1445,,Speed Vehicle Signal Circuit Failure
Interpret OBD-II code C1446,,Brake Switch Circuit Failure
Interpret OBD-II code C1447,,Traction Control Module Request Circuit Failure
Interpret OBD-II code C1448,,Lamp Adaptive Damping Warning Circuit Failure
Interpret OBD-II code C1449,,Traction Control Motor Coherency Fault
Interpret OBD-II code C1450,,Traction Control Motor Circuit Failure
Interpret OBD-II code C1451,,Traction Control Motor Circuit Open
Interpret OBD-II code C1452,,Traction Control Motor Circuit Short to Battery
Interpret OBD-II code C1453,,Traction Control Motor Circuit Short to Ground
Interpret OBD-II code C1454,,Front Lateral Accelerometer Circuit Failure
Interpret OBD-II code C1455,,Accelerometer Front Circuit Failure
Interpret OBD-II code C1456,,Accelerometer Front Circuit Is Not Sensed
Interpret OBD-II code C1457,,Accelerometer Front Circuit Short To Ground
Interpret OBD-II code C1458,,Accelerometer Front Circuit Short To Battery
Interpret OBD-II code C1459,,Adaptive Mode Switch Circuit Failure
Interpret OBD-II code C1460,,Vehicle Accelerometer Power Circuit Failure
Interpret OBD-II code C1461,,Vehicle Accelerometer Power Circuit Short to Battery
Interpret OBD-II code C1462,,Left Front Vertical Accelerometer Circuit Failure
Interpret OBD-II code C1463,,Right Front Vertical Accelerometer Circuit Failure
Interpret OBD-II code C1464,,Pressure Transducer Redundant / Secondary Signal Faulted
Interpret OBD-II code C1465,,Damper High Side Front Circuit Short To Battery
Interpret OBD-II code C1466,,Damper Circuit Failure
Interpret OBD-II code C1467,,Damper High Side Rear Circuit Short To Battery
Interpret OBD-II code C1468,,Damper Low Side Front Circuit Failure
Interpret OBD-II code C1469,,Damper Low Side Rear Circuit Failure
Interpret OBD-II code C1495,,Traction Control Motor Potentiometer Circuit Failure
Interpret OBD-II code C1496,,Traction Control Motor Potentiometer Circuit Open
Interpret OBD-II code C1497,,Traction Control Motor Potentiometer Circuit Short to Battery
Interpret OBD-II code C1498,,Traction Control Motor Potentiometer Circuit Short to Ground
Interpret OBD-II code C1499,,"Transfer Case Contact Plate ""A"" Encoder Circuit Failure"
Interpret OBD-II code C1500,,"Transfer Case Contact Plate ""B"" Encoder Circuit Failure"
Interpret OBD-II code C1501,,"Transfer Case Contact Plate ""C"" Encoder Circuit Failure"
Interpret OBD-II code C1502,,"Transfer Case Contact Plate ""D"" Encoder Circuit Failure"
Interpret OBD-II code C1503,,Dynamic Stability Control Left Front Valve Malfunction
Interpret OBD-II code C1504,,Dynamic Stability Control Right Front Valve Malfunction
Interpret OBD-II code C1505,,Dynamic Stability Control Left Rear Valve Malfunction
Interpret OBD-II code C1506,,Dynamic Stability Control Right Rear Valve Malfunction
Interpret OBD-II code C1507,,Traction Control of Brake Exceeds Time-Out
Interpret OBD-II code C1508,,Traction Control of Engine Exceeds Time-Out
Interpret OBD-II code C1510,,Right Front Wheel Pressure Reduction Performance Problem
Interpret OBD-II code C1511,,Left Front Wheel Pressure Reduction Performance Problem
Interpret OBD-II code C1512,,Right Rear Wheel Pressure Reduction Performance Problem
Interpret OBD-II code C1513,,Left rear Wheel Pressure Reduction Performance Problem
Interpret OBD-II code C1699,,Left Rear Sensor Circuit Short to Vbat
Interpret OBD-II code C1700,,Left Rear Sensor Circuit Failure
Interpret OBD-II code C1701,,Left Rear Sensor Circuit Fault
Interpret OBD-II code C1702,,RightRear Sensor Circuit Short to Vbat
Interpret OBD-II code C1703,,Right Rear Sensor Circuit Failure
Interpret OBD-II code C1704,,Right Rear Sensor Circuit Fault
Interpret OBD-II code C1705,,Left Rear Center Sensor Circuit Short to Vbat
Interpret OBD-II code C1706,,Left Rear Center Sensor Circuit Failure
Interpret OBD-II code C1707,,Left Rear Center Sensor Circuit Fault
Interpret OBD-II code C1708,,Right Rear Center Sensor Circuit Short to Vbat
Interpret OBD-II code C1709,,Right Rear Center Sensor Circuit Failure
Interpret OBD-II code C1710,,Right Rear Center Sensor Circuit Fault
Interpret OBD-II code C1711,,Left Front Sensor Circuit Short to Vbat
Interpret OBD-II code C1712,,Left Front Sensor Circuit Failure
Interpret OBD-II code C1713,,Left Front Sensor Circuit Fault
Interpret OBD-II code C1714,,Right Front Sensor Circuit Short to Vbat
Interpret OBD-II code C1715,,Right Front Sensor Circuit Failure
Interpret OBD-II code C1716,,Right Front Sensor Circuit Fault
Interpret OBD-II code C1717,,Left Front Center Sensor Circuit Short to Vbat
Interpret OBD-II code C1718,,Left Front Center Sensor Circuit Failure
Interpret OBD-II code C1719,,Left Front Center Sensor Circuit Fault
Interpret OBD-II code C1721,,Air Suspension Height Sensor Power Circuit Open
Interpret OBD-II code C1722,,Air Suspension Height Sensor Power Circuit Short To Battery
Interpret OBD-II code C1723,,Air Suspension Height Sensor Power Circuit Short To Ground
Interpret OBD-II code C1724,,Air Suspension Height Sensor Power Circuit Failure
Interpret OBD-II code C1725,,Air Suspension Front Pneumatic Failure
Interpret OBD-II code C1726,,Air Suspension Rear Pneumatic Failure
Interpret OBD-II code C1727,,Air Suspension Reservoir Pneumatic Failure
Interpret OBD-II code C1728,,Transfer  Case unable to transition between 2H and 4H
Interpret OBD-II code C1729,,Transfer  Case unable to transition between 4H and 4L
Interpret OBD-II code C1730,,Reference Voltage Out of Range (+5 v)
Interpret OBD-II code C1731,,Air Suspension LF Corner Up Timeout
Interpret OBD-II code C1732,,Air Suspension LF Corner Down Timeout
Interpret OBD-II code C1733,,Air Suspension RF Corner Up Timeout
Interpret OBD-II code C1734,,Air Suspension RF Corner Down Timeout
Interpret OBD-II code C1735,,Air Suspension LR Corner Up Timeout
Interpret OBD-II code C1736,,Air Suspension LR Corner Down Timeout
Interpret OBD-II code C1737,,Air Suspension RR Corner Up Timeout
Interpret OBD-II code C1738,,Air Suspension RR Corner Down Timeout
Interpret OBD-II code C1739,,Right Front Center Sensor Circuit Short to Vbat
Interpret OBD-II code C1740,,Right Front Center Sensor Circuit Failure
Interpret OBD-II code C1741,,Right Front Center Sensor Circuit Fault
Interpret OBD-II code C1742,,Rear Sounder Circuit Failure
Interpret OBD-II code C1743,,Rear Sounder Circuit Short to Vbatt
Interpret OBD-II code C1744,,Front Sounder Circuit Failure
Interpret OBD-II code C1745,,Front Sounder Circuit Short to Vbatt
Interpret OBD-II code C1748,,Switch input Circuit Short to Gnd
Interpret OBD-II code C1749,,Trailer Input Circuit Failure
Interpret OBD-II code C1750,,Accelerator Position Sensor Out of Range
Interpret OBD-II code C1751,,Vehicle Speed Sensor # 1 Output Circuit Short to Vbatt
Interpret OBD-II code C1752,,Vehicle Speed Sensor # 1 Output Circuit Short to Gnd
Interpret OBD-II code C1753,,Hydraulic Clutch Actuator Valve Signal Fault
Interpret OBD-II code C1754,,Hydraulic Clutch Actuator Valve Circuit Failure
Interpret OBD-II code C1755,,Power Limit Shutdown Fault
Interpret OBD-II code C1756,,Air Suspension Front Height Sensor High (SE) Signal Circuit Failure
Interpret OBD-II code C1757,,Air Suspension Front Height Sensor High (SE) Signal Circuit Open
Interpret OBD-II code C1758,,Air Suspension Front Height Sensor High (SE) Signal Circuit Short To Battery
Interpret OBD-II code C1759,,Air Suspension Front Height Sensor High (SE) Signal Circuit Short To Ground
Interpret OBD-II code C1760,,Air Suspension Rear Height Sensor High (SE) Signal Circuit Failure
Interpret OBD-II code C1761,,Air Suspension Rear Height Sensor High (SE) Signal Circuit Open
Interpret OBD-II code C1762,,Air Suspension Rear Height Sensor High (SE) Signal Circuit Short To Battery
Interpret OBD-II code C1763,,Air Suspension Rear Height Sensor High (SE) Signal Circuit Short To Ground
Interpret OBD-II code C1765,,Air Suspension Rear Height Sensor Low Signal Circuit Failure
Interpret OBD-II code C1766,,Air Suspension Rear Height Sensor Low Signal Circuit Open
Interpret OBD-II code C1767,,Air Suspension Rear Height Sensor Low Signal Circuit Short To Battery
Interpret OBD-II code C1768,,Air Suspension Rear Height Sensor Low Signal Circuit Short To Ground
Interpret OBD-II code C1770,,Air Suspension Vent Solenoid Output Circuit Failure
Interpret OBD-II code C1771,,Air Suspension Vent Solenoid Output Circuit Open
Interpret OBD-II code C1772,,Air Suspension Vent Solenoid Output Circuit Short To Battery
Interpret OBD-II code C1773,,Air Suspension Vent Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1774,,Coolant Temp Out of Range
Interpret OBD-II code C1775,,DC-DC Converter Failure
Interpret OBD-II code C1776,,Heater System Failure
Interpret OBD-II code C1777,,Vacuum Pressure Circuit Failure
Interpret OBD-II code C1778,,Power Steering Failure
Interpret OBD-II code C1779,,Blower Switch Failure
Interpret OBD-II code C1780,,Temperature Select Failure
Interpret OBD-II code C1781,,Engine Coolant Temperature Signal Missing/Fault
Interpret OBD-II code C1790,,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Failure
Interpret OBD-II code C1791,,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Open
Interpret OBD-II code C1792,,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Short To Battery
Interpret OBD-II code C1793,,Air Suspension LR Air Spring/Shock Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1795,,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Failure
Interpret OBD-II code C1796,,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Open
Interpret OBD-II code C1797,,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Short To Battery
Interpret OBD-II code C1798,,Air Suspension RR Air Spring/Shock Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1800,,Air Suspension Reservoir Solenoid Circuit Failure
Interpret OBD-II code C1805,,Mismatched PCM and/or ABS-TC Module
Interpret OBD-II code C1813,,Air Suspension LR Vent Request Exceeded Max Timing
Interpret OBD-II code C1814,,Air Suspension RR Vent Request Exceeded Max Timing
Interpret OBD-II code C1818,,Air Suspension LR Air Compress Request Exceeded Max Timing
Interpret OBD-II code C1819,,Air Suspension RR Air Compress Request Exceeded Max Timing
Interpret OBD-II code C1820,,Air Suspension RF Air Compress Request Exceeded Max Timing
Interpret OBD-II code C1830,,Air Suspension Compressor Relay Circuit Failure
Interpret OBD-II code C1831,,Air Suspension Compressor Relay Circuit Open
Interpret OBD-II code C1832,,Air Suspension Compressor Relay Circuit Short To Battery
Interpret OBD-II code C1833,,Air Suspension Compressor  Relay Circuit Short To Ground
Interpret OBD-II code C1834,,Gauge Drive Current Fault
Interpret OBD-II code C1835,,Current Sense Circuit Failure
Interpret OBD-II code C1836,,Battery Temp out of Range
Interpret OBD-II code C1837,,Battery Heater Circuit Failure
Interpret OBD-II code C1838,,Charging System Fault
Interpret OBD-II code C1839,,Leakage Fault
Interpret OBD-II code C1840,,Air Suspension Disable Switch Circuit Failure
Interpret OBD-II code C1841,,Air Suspension Disable Switch Circuit Open
Interpret OBD-II code C1842,,Air Suspension Disable Switch Circuit Short To Battery
Interpret OBD-II code C1843,,Air Suspension Disable Switch Circuit Short To Ground
Interpret OBD-II code C1844,,Air Suspension Secondary Front Inflator Solenoid Output Circuit Failure
Interpret OBD-II code C1845,,Air Suspension Front Inflator Solenoid Output Circuit Failure
Interpret OBD-II code C1846,,Air Suspension Front Inflator Solenoid Output Circuit Open
Interpret OBD-II code C1847,,Air Suspension Front Inflator Solenoid Output Circuit Short To  Battery
Interpret OBD-II code C1848,,Air Suspension Front Inflator Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1849,,Master Cylinder Pressure Out of Range
Interpret OBD-II code C1850,,Air Suspension Warning Lamp Circuit Failure
Interpret OBD-II code C1851,,Air Suspension Warning Lamp Circuit Open
Interpret OBD-II code C1852,,Air Suspension Warning Lamp Circuit Short To Battery
Interpret OBD-II code C1853,,Air Suspension Warning Lamp Circuit Short To Ground
Interpret OBD-II code C1854,,Motor Temperature Out of Range
Interpret OBD-II code C1855,,Acceleration Position Sensor Conflict
Interpret OBD-II code C1856,,Traction Motor Encoder  circuit Failure
Interpret OBD-II code C1859,,PRNDL Input #2 Circuit Failure
Interpret OBD-II code C1860,,PRNDL Input #3 Circuit Failure
Interpret OBD-II code C1861,,PRNDL Input #4 Circuit Failure
Interpret OBD-II code C1862,,Contactor Circuit Failure
Interpret OBD-II code C1863,,External Charging Fault
Interpret OBD-II code C1864,,Battery Module Fault
Interpret OBD-II code C1865,,Air Suspension Rear Inflator Solenoid Output Circuit Failure
Interpret OBD-II code C1866,,Air Suspension Rear Inflator Solenoid Output Circuit Open
Interpret OBD-II code C1867,,Air Suspension Rear Inflator Solenoid Output Circuit Short To  Battery
Interpret OBD-II code C1868,,Air Suspension Rear Inflator Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1869,,Air Suspension Gate Solenoid Output Circuit Failure
Interpret OBD-II code C1870,,Air Suspension Gate Solenoid Output Circuit Open
Interpret OBD-II code C1871,,Air Suspension Gate Solenoid Output Circuit Short To  Battery
Interpret OBD-II code C1872,,Air Suspension Gate Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1873,,Air Suspension RF Air Spring Solenoid Output Circuit Failure
Interpret OBD-II code C1874,,Air Suspension RF Air Spring Solenoid Output Circuit Open
Interpret OBD-II code C1875,,Air Suspension RF Air Spring Solenoid Output Circuit Short To Battery
Interpret OBD-II code C1876,,Air Suspension RF Air Spring Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1877,,Air Suspension LF Air Spring Solenoid Output Circuit Failure
Interpret OBD-II code C1878,,Air Suspension LF Air Spring Solenoid Output Circuit Open
Interpret OBD-II code C1879,,Air Suspension LF Air Spring Solenoid Output Circuit Short To Battery
Interpret OBD-II code C1880,,Air Suspension LF Air Spring Solenoid Output Circuit Short To Ground
Interpret OBD-II code C1881,,Air Suspension RF Height Sensor Circuit Failure
Interpret OBD-II code C1882,,Air Suspension RF Height Sensor Circuit Open
Interpret OBD-II code C1883,,Air Suspension RF Height Sensor Circuit Short To Battery
Interpret OBD-II code C1884,,Air Suspension RF Height Sensor Circuit Short To Ground
Interpret OBD-II code C1885,,Air Suspension RR Height Sensor Circuit Failure
Interpret OBD-II code C1886,,Air Suspension RR Height Sensor Circuit Open
Interpret OBD-II code C1887,,Air Suspension RR Height Sensor Circuit Short To Battery
Interpret OBD-II code C1888,,Air Suspension RR Height Sensor Circuit Short To Ground
Interpret OBD-II code C1889,,Air Suspension LF Height Sensor Circuit Failure
Interpret OBD-II code C1890,,Air Suspension LF Height Sensor Circuit Open
Interpret OBD-II code C1891,,Air Suspension LF Height Sensor Circuit Short To Battery
Interpret OBD-II code C1892,,Air Suspension LF Height Sensor Circuit Short To Ground
Interpret OBD-II code C1893,,Air Suspension LR Height Sensor Circuit Failure
Interpret OBD-II code C1894,,Air Suspension LR Height Sensor Circuit Open
Interpret OBD-II code C1895,,Air Suspension LR Height Sensor Circuit Short To Battery
Interpret OBD-II code C1896,,Air Suspension LR Height Sensor Circuit Short To Ground
Interpret OBD-II code C1897,,Steering VAPS II Circuit Loop Failure
Interpret OBD-II code C1898,,Steering VAPS II Circuit Loop Open
Interpret OBD-II code C1899,,Steering VAPS II Circuit Loop Short To Battery
Interpret OBD-II code C1900,,Steering VAPS II Circuit Loop Short To Ground
Interpret OBD-II code C1901,,Ride Control RR Shock Actuator Circuit Failure
Interpret OBD-II code C1902,,Ride Control RR Shock Actuator Circuit Open
Interpret OBD-II code C1903,,Ride Control RR Shock Actuator Circuit Short To Battery
Interpret OBD-II code C1904,,Ride Control RR Shock Actuator Circuit Short To Ground
Interpret OBD-II code C1905,,Ride Control LR Shock Actuator Circuit Failure
Interpret OBD-II code C1906,,Ride Control LR Shock Actuator Circuit Open
Interpret OBD-II code C1907,,Ride Control LR Shock Actuator Circuit Short To Battery
Interpret OBD-II code C1908,,Ride Control LR Shock Actuator Circuit Short To Ground
Interpret OBD-II code C1909,,Ride Control RF Shock Actuator Circuit Failure
Interpret OBD-II code C1910,,Ride Control RF Shock Actuator Circuit Open
Interpret OBD-II code C1911,,Ride Control RF Shock Actuator Circuit Short To Battery
Interpret OBD-II code C1912,,Ride Control RF Shock Actuator Circuit Short To Ground
Interpret OBD-II code C1913,,Ride Control LF Shock Actuator Circuit Failure
Interpret OBD-II code C1914,,Ride Control LF Shock Actuator Circuit Open
Interpret OBD-II code C1915,,Ride Control LF Shock Actuator Circuit Short To Battery
Interpret OBD-II code C1916,,Ride Control LF Shock Actuator Circuit Short To Ground
Interpret OBD-II code C1917,,Steering EVO Out-of-Range Fault
Interpret OBD-II code C1918,,Air Suspension Ride Height Select Switch Circuit Failure
Interpret OBD-II code C1920,,Led #1 Circuit Failure
Interpret OBD-II code C1921,,VAPS Solenoid Actuator Output Circuit Failure
Interpret OBD-II code C1922,,VAPS Solenoid Actuator Output Circuit Open
Interpret OBD-II code C1923,,VAPS Solenoid Actuator Output Circuit Short To Battery
Interpret OBD-II code C1924,,VAPS Solenoid Actuator Output Circuit Short To Ground
Interpret OBD-II code C1925,,VAPS Solenoid Actuator Return Circuit Failure
Interpret OBD-II code C1926,,VAPS Solenoid Actuator Return Circuit Open
Interpret OBD-II code C1927,,VAPS Solenoid Actuator Return Circuit Short To Battery
Interpret OBD-II code C1928,,VAPS Solenoid Actuator Return Circuit Short To Ground
Interpret OBD-II code C1929,,Air Suspension Front Compressor Relay Circuit Failure
Interpret OBD-II code C1930,,Air Suspension Front Compressor Relay Circuit Open
Interpret OBD-II code C1931,,Air Suspension Front Compressor Relay Circuit Short To Battery
Interpret OBD-II code C1932,,Air Suspension Front Compressor Relay Circuit Short To Ground
Interpret OBD-II code C1933,,Solenoid Current Out Of Range
Interpret OBD-II code C1934,,HPU (Hydraulic Pump Unit) Pressurisation Failure
Interpret OBD-II code C1935,,Chime Circuit Failure
Interpret OBD-II code C1936,,Hydraulic Pump Relay Circuit Failure
Interpret OBD-II code C1937,,Steering Wheel Angle Sensor Offset Failure
Interpret OBD-II code C1938,,Invalid Steering Wheel Angle Sensor ID
Interpret OBD-II code C1939,,Brake Pressure Switch Input Circuit Failure
Interpret OBD-II code C1940,,Brake Pressure Switch Mechanical Failure
Interpret OBD-II code C1942,,Unrecognized Powertrain Configuration
Interpret OBD-II code C1943,,Airbag Deployment Indication Input Fault
Interpret OBD-II code C1944,,Gauge Driver Circuit Fault
Interpret OBD-II code C1945,,Park Switch Indicates Park with Vehicle Moving
Interpret OBD-II code C1946,,Seat Track Position Switch Circuit Open
Interpret OBD-II code C1947,,Seat Track Position Switch Circuit Short to Ground
Interpret OBD-II code C1948,,Seat Track Position Switch Circuit Resistance Out of Range
Interpret OBD-II code C1949,,Accelerometer Sensor Circuit Open
Interpret OBD-II code C1950,,Accelerometer Sensor Circuit Failure
Interpret OBD-II code C1951,,Lateral Accelerometer Sensor Circuit Open
Interpret OBD-II code C1952,,Yaw Rate Sensor Circuit Open
Interpret OBD-II code C1953,,Master Cylinder Pressure Sensor Circuit Open
Interpret OBD-II code C1954,,Master Cylinder Pressure Sensor Circuit Failure
Interpret OBD-II code C1955,,Steering Angle Sensor Circuit Open
Interpret OBD-II code C1956,,Steering Angle Sensor Circuit Failure
Interpret OBD-II code C1957,,Dynamic Stability Control Valve RF Circuit Failure
Interpret OBD-II code C1958,,Dynamic Stability Control Valve LF Circuit Failure
Interpret OBD-II code C1959,,Lateral Accelerometer Sensor Circuit Failure
Interpret OBD-II code C1960,,Driver Brake Apply Circuit Fault
Interpret OBD-II code C1961,,Park Lamp Relay Coil Circuit Failure
Interpret OBD-II code C1962,,Park Lamp Relay Coil Short to Battery
Interpret OBD-II code C1963,,Stability Control Inhibit Warning
Interpret OBD-II code C2767,,Reserved - TBD
Interpret OBD-II code U1000,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1001,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1002,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1003,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1004,,SCP (J1850) Invalid or Missing Data for EEC Programming
Interpret OBD-II code U1005,,SCP (J1850) Invalid or Missing Data for EEC Programming
Interpret OBD-II code U1006,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1007,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1008,,SCP (J1850) Invalid or Missing Data for Engine Torque
Interpret OBD-II code U1009,,SCP (J1850) Invalid or Missing Data for Engine Torque
Interpret OBD-II code U1010,,SCP (J1850) Invalid or Missing Data for Engine Air Intake
Interpret OBD-II code U1011,,SCP (J1850) Invalid or Missing Data for Engine Air Intake
Interpret OBD-II code U1012,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1013,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1014,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1015,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1016,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1017,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1018,,SCP (J1850) Invalid or Missing Data for Throttle
Interpret OBD-II code U1019,,SCP (J1850) Invalid or Missing Data for Throttle
Interpret OBD-II code U1020,,SCP (J1850) Invalid or Missing Data for Air Conditioning Clutch
Interpret OBD-II code U1021,,SCP (J1850) Invalid or Missing Data for Air Conditioning Clutch
Interpret OBD-II code U1022,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1023,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1024,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1025,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1026,,SCP (J1850) Invalid or Missing Data for Engine RPM
Interpret OBD-II code U1027,,SCP (J1850) Invalid or Missing Data for Engine RPM
Interpret OBD-II code U1028,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1029,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1030,,SCP (J1850) Invalid or Missing Data for Experimental #1
Interpret OBD-II code U1031,,SCP (J1850) Invalid or Missing Data for Experimental #1
Interpret OBD-II code U1032,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1033,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1034,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1035,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1036,,SCP (J1850) Invalid or Missing Data for Wheels
Interpret OBD-II code U1037,,SCP (J1850) Invalid or Missing Data for Wheels
Interpret OBD-II code U1038,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1039,,SCP (J1850) Invalid or Missing Data for Primary Id / Vehicle Speed
Interpret OBD-II code U1040,,SCP (J1850) Invalid or Missing Data for Vehicle Speed
Interpret OBD-II code U1041,,SCP (J1850) Invalid or Missing Data for Vehicle Speed
Interpret OBD-II code U1042,,SCP (J1850) Invalid or Missing Data for Traction Control
Interpret OBD-II code U1043,,SCP (J1850) Invalid or Missing Data for Traction Control
Interpret OBD-II code U1044,,SCP (J1850) Invalid or Missing Data for Traction Motor
Interpret OBD-II code U1045,,SCP (J1850) Invalid or Missing Data for Traction Motor
Interpret OBD-II code U1046,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1047,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1048,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1049,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1050,,SCP (J1850) Invalid or Missing Data for Brakes
Interpret OBD-II code U1051,,SCP (J1850) Invalid or Missing Data for Brakes
Interpret OBD-II code U1052,,SCP (J1850) Invalid or Missing Data for Steering / Steering Wheel
Interpret OBD-II code U1053,,SCP (J1850) Invalid or Missing Data for Steering / Steering Wheel
Interpret OBD-II code U1054,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1055,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1056,,SCP (J1850) Invalid or Missing Data for Vehicle Configuration
Interpret OBD-II code U1057,,SCP (J1850) Invalid or Missing Data for Vehicle Configuration
Interpret OBD-II code U1058,,SCP (J1850) Invalid or Missing Data for Transmission / Transaxle / PRNDL
Interpret OBD-II code U1059,,SCP (J1850) Invalid or Missing Data for Transmission / Transaxle / PRNDL
Interpret OBD-II code U1060,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1061,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1062,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1063,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1064,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1065,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1066,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1067,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1068,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1069,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1070,,SCP (J1850) Invalid or Missing Data for Engine Sensors
Interpret OBD-II code U1071,,SCP (J1850) Invalid or Missing Data for Engine Sensors
Interpret OBD-II code U1072,,SCP (J1850) Invalid or Missing Data for Engine Coolant
Interpret OBD-II code U1073,,SCP (J1850) Invalid or Missing Data for Engine Coolant
Interpret OBD-II code U1074,,SCP (J1850) Invalid or Missing Data for Engine Oil
Interpret OBD-II code U1075,,SCP (J1850) Invalid or Missing Data for Engine Oil Temp
Interpret OBD-II code U1076,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1077,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1078,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1079,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1080,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1081,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1082,,SCP (J1850) Invalid or Missing Data for Engine Systems Other
Interpret OBD-II code U1083,,SCP (J1850) Invalid or Missing Data for Engine Systems Other
Interpret OBD-II code U1084,,SCP (J1850) Invalid or Missing Data for Powertrain Status Request
Interpret OBD-II code U1085,,SCP (J1850) Invalid or Missing Data for Powertrain Status Request
Interpret OBD-II code U1086,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1087,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1088,,SCP (J1850) Invalid or Missing Data for Suspension
